ID,Category,Topic,Difficulty,Question,Correct Answer,Choice 1,Choice 2,Choice 3,Source
1,"['Halloween', 'Movies', 'DCOM']",Halloweentown,Medium,What is the name of the friendly neighborhood cab driver in Halloweentown?,Benny,Bertie,Barry,Blip,https://disney.fandom.com/wiki/Benny_(Halloweentown)
2,"['Halloween', 'Movies', 'DCOM']",Halloweentown,Medium,What is the incantation for the Gray Spell that drains the life out of Halloweentown?,APART,ALONE,AGONY,TRAPPED,https://halloweentown.fandom.com/wiki/Gray_Spell
3,"['Movies', 'DCOM']",Smart House,Easy,What is the name of the AI technology in Smart House?,P.A.T.,S.A.M.,M.A.X.,L.I.Z.,https://villains.fandom.com/wiki/PAT
4,"['Halloween', 'Movies']",The Cabin in the Woods,Medium,Which college student dies first in The Cabin in the Woods?,Jules,Dana,Holden,Curt,https://en.wikipedia.org/wiki/The_Cabin_in_the_Woods
5,"['Halloween', 'Movies']",The Cabin in the Woods,Hard,"What creature attacks Dana at the end of The Cabin in the Woods, almost satisfying the ritual?",Werewolf,Wendigo,Zombie,Dragonbat,https://thecabininthewoods.fandom.com/wiki/Monsters#List_of_Monsters
6,"['Halloween', 'Movies']",Friday the 13th,Easy,What is the name of the summer camp that provides the setting for Friday the 13th?,Camp Crystal Lake,Amethyst Valley Camp,Diamond Run Campground,Lake Emerald,https://www.imdb.com/title/tt0080761/
7,"['Halloween', 'Movies']",Halloween (Movie),Easy,What is the name of Michael Myers' sister?,Judith,Beverly,Doris,Susan,https://en.wikipedia.org/wiki/Halloween_(franchise)
8,"['Disney', 'Movies']",Cinderella,Easy,What are the names of Cinderella's step-sisters?,Anastasia & Drizella,Anastasia & Gabriella,Angelica & Drizella,Angelica & Gabriella,https://www.thedisneyclassics.com/blog/cinderella-ugly-stepsisters
9,"['Disney', 'Movies']",The Little Mermaid,Easy,What is the name of Ariel & Eric's daughter?,Melody,Harmony,Aria,Piper,https://en.wikipedia.org/wiki/The_Little_Mermaid_II:_Return_to_the_Sea
10,"['Disney', 'Movies']",The Little Mermaid,Hard,What is the name of the solo song that Prince Eric sings in the 2023 remake of The Little Mermaid?,Wild Uncharted Waters,Uncharted Territory,Lost at Sea,The Scuttlebutt,https://en.wikipedia.org/wiki/The_Little_Mermaid_(2023_film)
11,"['Disney', 'Movies']",Fantasia,Medium,What is the name of the sorcerer in Fantasia?,Yensid,Yelnats,Yves,Ygor,https://en.wikipedia.org/wiki/Fantasia_(1940_film)
12,"['Disney', 'Movies']",Frozen,Medium,Which Disney princess from another franchise attended Elsa's coronation?,Rapunzel,Merida,Jasmine,Snow White,http://www.darthmaz314.com/2014/04/frozen-easter-egg-rapunzel-and-flynn.html
13,"['Disney', 'Movies']",A Goofy Movie,Easy,What is the name of the band in A Goofy Movie?,Powerline,Standout,The Goof Troop,Capital Rock,https://en.wikipedia.org/wiki/A_Goofy_Movie
14,"['Disney', 'Movies']",A Goofy Movie,Hard,What maneuver does Goofy attempt to teach Max while out fishing?,The Perfect Cast,The Perfect Catch,The Big Bigfoot Catch,The Perfect Dance,https://en.wikipedia.org/wiki/A_Goofy_Movie
15,"['Disney', 'Movies']",The Emperor's New Groove,Easy,What animal is Kuzco turned into in The Emperor's New Groove?,Llama,Alpaca,Ram,Bighorn Sheep,https://en.wikipedia.org/wiki/The_Emperor%27s_New_Groove
16,"['Disney', 'Movies']",The Emperor's New Groove,Medium,What empire is Kuzco the emperor of?,Incan Empire,Aztec Empire,Mayan Empire,Peruvian Empire,https://en.wikipedia.org/wiki/The_Emperor%27s_New_Groove
17,"['Disney', 'Movies']",Mulan,Medium,What name does Mulan choose to go by while disguised as a man?,Ping,Ling,Shuang,Li,https://mulan.fandom.com/wiki/Ping
18,"['Disney', 'Movies']",Finding Nemo,Medium,What is Nemo's mother's name?,Coral,Seadra,Polly,Delia,https://disney.fandom.com/wiki/Coral
19,"['Disney', 'Movies']",The Lion King,Medium,What is the name of Simba and Nala's daughter?,Kiara,Lyra,Cora,Kendall,https://lionking.fandom.com/wiki/Kiara
20,"['Disney', 'Movies']",Lilo and Stitch,Easy,What experiment number was Stitch?,626,610,523,999,https://liloandstitch.fandom.com/wiki/Stitch_(626)
21,"['Marvel', 'Movies']",Doctor Strange,Medium,What medical specialization is Doctor Strange licensed in?,Neurosurgeon,Cardiovascular Surgeon,Orthopedics,Oncologist,https://en.wikipedia.org/wiki/Doctor_Strange
22,"['Marvel', 'Movies']",Captain America,Hard,What material is Captain America's shield made out of?,Vibranium,Titanium,Coaxium,Adamantium,https://en.wikipedia.org/wiki/Vibranium
23,"['Disney', 'Movies']",The Lion King,Easy,What animals made up the stampede that killed Mufasa?,Wildebeests,Zebras,Elephants,Giraffes,https://lionking.fandom.com/wiki/Wildebeests
24,"['Movies', 'Literature']",Harry Potter,Medium,What position does Harry Potter play on the Quidditch team?,Seeker,Beater,Keeper,Chaser,https://en.wikipedia.org/wiki/Quidditch
25,"['Movies', 'Literature']",Harry Potter,Medium,What creature was found to be living in the Chamber of Secrets at Hogwarts?,Basilisk,Imps,Poltergeist,Three-Headed Dog,https://harrypotter.fandom.com/wiki/Basilisk#Within_the_wizarding_world
26,"['Movies', 'Literature']",Harry Potter,Hard,Who does Hermione attend the Yule Ball with in Harry Potter and the Goblet of Fire?,Viktor Krum,Ron Weasley,Neville Longbottom,Seamus Finnigan,https://harrypotter.fandom.com/wiki/Yule_Ball
27,"['Movies', 'Literature']",Harry Potter,Medium,"In the wizarding world of Harry Potter, what spell would one use to ward off a dementor?",Expecto Patronum,Expelliarmus,Avada Kedavra,Crucio,https://harrypotter.fandom.com/wiki/Patronus_Charm
28,"['Movies', 'Literature']",Harry Potter,Hard,What shape did Severus Snape's patronus take?,Doe,Jackrabbit,Fox,Wolf,https://harrypotter.fandom.com/wiki/Patronus_Charm
29,"['Literature', 'Movies']",Harry Potter,Easy,What Hogwarts house does Luna Lovegood belong to?,Ravenclaw,Gryffindor,Hufflepuff,Slytherin,https://harrypotter.fandom.com/wiki/Luna_Lovegood
30,"['Movies', 'Literature']",Harry Potter,Easy,What is the name of Hermione's cat in the Harry Potter series?,Crookshanks,Luna,Scabbers,Hedwig,https://harrypotter.fandom.com/wiki/Crookshanks
31,"['Literature', 'Movies']",Harry Potter,Medium,What is the name of the Slytherin house ghost in the Harry Potter series?,The Bloody Baron,Nearly Headless Nick,The Grey Lady,The Fat Friar,"https://gamerant.com/harry-potter-house-ghosts-hogwarts/#:~:text=While%20there%20are%20many%20ghosts,the%20Bloody%20Baron%20(Slytherin)."
32,"['Literature', 'Movies']",Harry Potter,Hard,What is the name of Hagrid's half-brother?,Grawp,Hawley,Pendearl,Lawhren,https://harrypotter.fandom.com/wiki/Grawp
33,"['Literature', 'Movies']",Harry Potter,Hard,"At Hogwarts, what year do the students take their O.W.L. exams?",Fifth year,Fourth year,Seventh year,Sixth year,https://harrypotter.fandom.com/wiki/Ordinary_Wizarding_Level
34,['Literature'],Twilight,Easy,What is the name of the second book in the Twilight series written by Stephanie Meyer?,New Moon,Eclipse,Twilight,Breaking Dawn,https://en.wikipedia.org/wiki/New_Moon_(novel)
35,"['Literature', 'Movies']",Twilight,Medium,What is the name of Jacob's tribe in the Twilight series?,The Quileute tribe,The Comanche tribe,The Paiute tribe,The Arapaho tribe,https://twilightsaga.fandom.com/wiki/Quileute_tribe
36,['Video Games'],Pac-Man,Hard,What are the names of the colored ghosts in Pac-Man?,"Inky, Blinky, Pinky, Clyde","Inky, Winky, Blinky, Pinky","Inky, Pinky, Coral, Oliver","Inky, Winky, Slinky, Dinky","https://en.wikipedia.org/wiki/Pac-Man#:~:text=Pac%2DMan%20is%20an%20action,%E2%80%94who%20pursue%20Pac%2DMan."
37,['Video Games'],Super Mario Franchise,Easy,What is the name of Mario's green dinosaur friend who debuted in Super Mario World?,Yoshi,Birdo,Diddy Kong,Wario,https://www.mariowiki.com/Yoshi
38,['Video Games'],Wii,Easy,"What game, released in 2006, allowed players to use the wii-mote to participate in sports minigames such as bowling?",Wii Sports,Wii Move,Just Dance,Wii Motion,https://en.wikipedia.org/wiki/Wii_Sports
39,['Video Games'],Super Mario Franchise,Easy,What is the name of the Mario Kart course that takes place on a colorful glass track in space? This course is featured in every Mario Kart installment.,Rainbow Road,Peach Gardens,Bowser's Castle,Wario Colosseum,https://www.mariowiki.com/Rainbow_Road
40,['Video Games'],Super Mario Franchise,Medium,What color shell would you throw in Mario Kart if you wanted to target the player in first place?,Blue,Red,Green,Yellow,https://en.wikipedia.org/wiki/Blue_shell
41,['Video Games'],Crash Bandicoot,Hard,What is the name of the main antagonist evil scientist in the Crash Bandicoot series?,Dr. Neo Cortex,Ripper Roo,Dr. Nefarious Tropy,N. Gin,https://crashbandicoot.fandom.com/wiki/Neo_Cortex
42,['Video Games'],Spyro,Hard,"In The Legend of Spyro: A New Beginning, what is the name of the evil dragon trying to wage war against the world?",Cynder,Onyx,Cyrille,Ignytus,https://en.wikipedia.org/wiki/Spyro
43,['Video Games'],Animal Crossing,Easy,"In the Animal Crossing series, what is the name of the money-conscious Tanuki shopkeeper?",Tom Nook,Timmy Nook,Tommy Nook,Timothy Nook,https://animalcrossing.fandom.com/wiki/Tom_Nook
44,['Video Games'],Animal Crossing,Medium,"In Animal Crossing, the stock market is represented by the sale of what good?",Turnips,Stalks,Beets,Potatoes,https://nookipedia.com/wiki/Stalk_Market
45,"['Video Games', 'Television']",Pokemon,Easy,What is Ash Ketchum's partner Pokemon throughout the Pokemon series?,Pikachu,Raichu,Charizard,Chansey,https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon)
46,"['Video Games', 'Television']",Pokemon,Hard,What is the name of the electric gym leader in the Kanto region?,Lt. Surge,Misty,Brock,Erika,https://bulbapedia.bulbagarden.net/wiki/Lt._Surge
47,['Video Games'],Pokemon,Medium,"What is the name of the pokemon nicknamed ""The Original One"" which created the Pokemon universe and changes type based on the plate it is holding?",Arceus,Shaymin,Kyogre,Rayquaza,https://bulbapedia.bulbagarden.net/wiki/Arceus_(Pok%C3%A9mon)
48,['Television'],Golden Girls,Hard,"In the Golden Girls series, what is Dorothy's job?",Substitute Teacher,Librarian,Crossing Guard,Barista,https://en.wikipedia.org/wiki/Dorothy_Zbornak
49,['Television'],South Park,Easy,In what state does the show South Park take place?,Colorado,New Jersey,Washington,Oregon,https://en.wikipedia.org/wiki/South_Park
50,['Television'],The Simpsons,Hard,What is the name of Bart Simpson's teacher?,Mrs. Krabappel,Mrs. Kollossal,Mrs. Kensington,Mrs. Krakraft,https://en.wikipedia.org/wiki/Edna_Krabappel
51,['Television'],The Simpsons,Easy,What is the title of the anthology of spooky Halloween-themed episodes of the Simpsons?,Treehouse of Horror,Treehouse of Terror,Fright Nights,Camp Fright,https://en.wikipedia.org/wiki/Treehouse_of_Horror
52,"['Television', 'Sitcoms']",Full House,Medium,What is the name of the morning show hosted by Danny and Becky in the Full House series?,"Wake Up, San Francisco",Good Morning San Francisco,Good Morning America,"Wake Up, America","https://fullhouse.fandom.com/wiki/Wake_Up,_San_Francisco"
53,"['Television', 'Sitcoms']",Full House,Medium,What piercing does Stephanie Tanner get without permission that eventually gets infected?,Ears,Nose,Tongue,Lip,https://fullhouse.fandom.com/wiki/I%27m_Not_D.J.
54,"['Television', 'Sitcoms']",Friends,Easy,What is the name of the coffee shop that the main characters frequent in Friends?,Central Perk,The Met Cafe,Central Park Cafe,Brooklyn Bridge Cafe,https://friends.fandom.com/wiki/Central_Perk
55,"['Television', 'Sitcoms']",Friends,Medium,What is the name of the orthodontist that Rachel almost marries in the first season of Friends?,Barry,Harry,Larry,Terry,https://friends.fandom.com/wiki/Barry_Farber
56,"['Television', 'Sitcoms']",Parks and Recreation,Easy,"What catchphrase do Donna Meagle & Tom Haverford live by in Parks and Recreation, encouraging themselves to indulge in shopping and fancy restaurants?",Treat yo' self,Trick or treat,Live luxuriously,Live large,https://parksandrecreation.fandom.com/wiki/Treat_Yo_Self
57,"['Television', 'Sitcoms']",Parks and Recreation,Medium,What is the name of the diner that Leslie and Ron frequent in Parks and Rec?,JJ's Diner,TJ's Diner,GQ's Diner,MJ's Diner,https://parksandrecreation.fandom.com/wiki/JJ%27s_Diner
58,"['Television', 'Sitcoms']",Parks and Recreation,Hard,What is the name of the board game Ben Wyatt creates in Parks and Recreation?,The Cones of Dunshire,The Sands and the Sea,Treasure of the Seven Seas,The Pyramids,https://parksandrecreation.fandom.com/wiki/The_Cones_of_Dunshire_(game)
59,['Television'],What We Do in the Shadows,Medium,What borough of New York do the characters of What We Do in the Shadows share an apartment in?,Staten Island,The Bronx,Brooklyn,Manhattan,https://en.wikipedia.org/wiki/What_We_Do_in_the_Shadows_(TV_series)
60,"['Television', 'Sitcoms']",New Girl,Easy,"Which character in New Girl is regularly forced to put money into the ""Douchebag Jar""?",Schmidt,Winston,Coach,Nick,https://newgirl.fandom.com/wiki/Douchebag_Jar
61,"['Television', 'Sitcoms']",New Girl,Easy,"What is the name of the drinking game played in the New Girl series, which includes references to many past American presidents?",True American,American Money,Patriot Pong,True Patriot,https://www.trueamericanrules.com/
62,"['Television', 'Sitcoms']",Community,Easy,What is the name of the community college the main characters attend in Community?,Greendale Community College,Boulder Community College,Colorado Springs Community College,Beaver Falls Community College,https://community-sitcom.fandom.com/wiki/Greendale_Community_College
63,"['Television', 'Sitcoms']",Arrested Development,Medium,"Where does George tell Michael ""there is always money"" in Arrested Development?",The Banana Stand,The Ice Cream Stand,The Frozen Yogurt Stand,The Caramel Apple Stand,https://arresteddevelopment.fandom.com/wiki/Bluth%27s_Original_Frozen_Banana_Stand
64,"['Music', 'Television']",Drake,Easy,What Canadian television show did the rapper Drake famously get his start?,Degrassi,Schitt's Creek,Life with Derek,Smallville,https://www.imdb.com/title/tt0288937/fullcredits?ref_=tt_cl_sm
65,['Music'],One Direction,Easy,Which was the first member of One Direction to leave to pursue a solo career?,Zayn Malik,Harry Styles,Louis Tomlinson,Niall Horan,https://en.wikipedia.org/wiki/Zayn_Malik
66,['Music'],One Direction,Medium,"What was the name of One Direction's third album, which was the best-selling album worldwide in 2013?",Midnight Memories,Up All Night,Made in the A.M.,Four,https://en.wikipedia.org/wiki/One_Direction
67,['Music'],Lou Bega,Medium,"In the song Mambo No. 5, what is the first woman's name mentioned in the chorus?",Monica,Erica,Rita,Tina,https://genius.com/Lou-bega-mambo-no-5-a-little-bit-of-lyrics
68,['Music'],Spice Girls,Medium,What is the name of the Spice Girls' debut album?,Spice,Spice World,Spice Girls,Spicy,https://en.wikipedia.org/wiki/Spice_(album)
69,['Music'],Spice Girls,Easy,"What Spice Girls song professes ""Friendship Never Ends""?",Wannabe,Spice Up Your Life,Viva Forever,Move Over,https://en.wikipedia.org/wiki/Wannabe
70,['Music'],The Weeknd,Hard,What is The Weeknd's real name?,Abel Tesfaye,Arven Tesfaye,Amari Tesfaye,Ambrosia Tesfaye,https://en.wikipedia.org/wiki/The_Weeknd
71,['Music'],The Weeknd,Medium,"What was the name of the Weeknd's third album, including hits such as Party Monster and Die For You?",Starboy,Beauty Behind the Madness,Kiss Land,After Hours,https://en.wikipedia.org/wiki/Starboy_(album)
72,"['Music', 'Pop Culture']",Rick Astley,Easy,"What Rick Astley song is lovingly used as a way to prank friends and family with a phenomenon called ""Rickrolling""?",Never Gonna Give You Up,Never Gonna Let You Down,Never Gonna Run Around and Desert You,Never Gonna Say Goodbye,https://en.wikipedia.org/wiki/Rickrolling
73,"['Music', 'Pop Culture']",Dolly Parton,Easy,"What song did Dolly Parton release in 2021, as a sequel to her hit single ""9 to 5""?",5 to 9,Night Shift,Side Hustle,Working Girls,https://en.wikipedia.org/wiki/9_to_5_(Dolly_Parton_song)
74,"['Music', 'Pop Culture']",Taylor Swift,Medium,"What ""Lover"" hit does Taylor Swift perform as the opening song of her world-renown Eras Tour?",Miss Americana and the Heartbreak Prince,The Archer,Cruel Summer,Lover,https://www.bustle.com/entertainment/taylor-swift-eras-tour-opener-miss-americana-the-heartbreak-prince-opening-song
